,V1 (V),Ang1 (°),V2 (V),Ang2 (°),V3 (V),Ang3 (°)
0,276.804,-0.28,276.933,119.71,276.905,-120.26
0,276.755,-0.3,276.914,119.68,276.935,-120.28
0,276.764,-0.28,276.901,119.69,276.953,-120.27
0,276.756,-0.28,276.916,119.69,276.954,-120.27
0,276.993,-0.14,276.884,119.85,276.982,-120.17
0,276.802,-0.27,276.998,119.73,276.883,-120.23
0,276.806,-0.28,277.036,119.74,276.844,-120.23
0,276.825,-0.27,277.013,119.75,276.857,-120.23
0,276.853,-0.2,277.04,119.81,276.911,-120.17
0,276.787,-0.3,277.057,119.72,276.802,-120.24
0,276.807,-0.26,277.056,119.76,276.861,-120.2
0,276.833,-0.23,277.002,119.77,276.912,-120.2
0,276.876,-0.23,277.039,119.79,276.855,-120.19
0,276.888,-0.23,277.032,119.8,276.845,-120.19
0,276.881,-0.21,277.013,119.8,276.897,-120.18
0,276.876,-0.19,277.002,119.81,276.931,-120.17
0,276.943,-0.14,276.993,119.86,276.945,-120.13
0,276.895,-0.19,276.969,119.81,276.942,-120.18
0,276.871,-0.21,276.979,119.79,276.919,-120.19
0,276.902,-0.12,276.921,119.85,277.063,-120.13
0,276.853,-0.24,277.009,119.78,276.878,-120.2
0,276.872,-0.21,276.98,119.79,276.917,-120.19
0,276.86,-0.23,277.003,119.78,276.882,-120.2
0,276.877,-0.23,277.009,119.79,276.87,-120.2
0,276.858,-0.23,277.002,119.78,276.884,-120.2
0,276.857,-0.23,277.002,119.78,276.883,-120.2
0,276.87,-0.2,277.053,119.82,276.895,-120.15
0,276.941,-0.19,277.0,119.83,276.876,-120.17
0,276.965,-0.17,277.08,119.88,276.825,-120.12
0,276.917,-0.25,277.076,119.81,276.756,-120.19
0,276.938,-0.21,277.031,119.82,276.826,-120.18
0,276.898,-0.26,277.074,119.8,276.766,-120.2
0,276.953,-0.23,277.092,119.84,276.746,-120.17
0,276.897,-0.26,277.075,119.8,276.764,-120.2
0,276.965,-0.23,277.09,119.84,276.727,-120.18
0,276.974,-0.22,277.075,119.84,276.745,-120.17
0,276.94,-0.19,277.12,119.87,276.792,-120.13
0,277.029,-0.15,277.003,119.89,276.849,-120.14
0,277.0,-0.22,277.053,119.85,276.744,-120.18
0,276.97,-0.16,277.079,119.89,276.835,-120.12
0,277.001,-0.16,277.046,119.89,276.832,-120.13
0,277.037,-0.14,276.984,119.9,276.875,-120.13
0,277.056,-0.1,276.971,119.92,276.91,-120.1
0,277.058,-0.09,276.931,119.92,276.947,-120.11
0,277.065,-0.14,276.947,119.89,276.87,-120.15
0,277.023,-0.11,276.936,119.89,276.954,-120.12
0,277.004,-0.14,276.978,119.88,276.907,-120.13
0,276.974,-0.12,277.034,119.9,276.916,-120.1
0,276.96,-0.06,277.039,119.94,276.984,-120.05
0,276.963,-0.1,277.089,119.93,276.91,-120.06
0,277.002,-0.1,277.032,119.92,276.911,-120.08
0,277.006,-0.09,277.021,119.93,276.926,-120.08
0,277.043,-0.07,276.952,119.93,276.967,-120.09
0,276.987,-0.06,277.032,119.95,276.967,-120.05
0,277.01,-0.03,276.97,119.97,277.028,-120.04
0,277.009,-0.02,276.983,119.97,277.024,-120.03
0,276.989,-0.02,276.997,119.97,277.034,-120.02
0,277.004,-0.02,276.978,119.97,277.03,-120.03
0,276.942,-0.04,276.963,119.93,277.078,-120.05
0,276.918,-0.03,276.994,119.94,277.084,-120.03
0,276.919,-0.03,276.995,119.94,277.083,-120.03
0,276.923,-0.03,276.993,119.94,277.084,-120.03
0,276.921,-0.03,276.992,119.94,277.086,-120.03
0,276.921,-0.03,276.993,119.94,277.085,-120.03
0,276.92,-0.03,276.992,119.94,277.086,-120.03
0,276.92,-0.03,276.992,119.94,277.086,-120.03
0,276.921,-0.03,276.992,119.94,277.086,-120.03
0,276.921,-0.03,276.992,119.94,277.086,-120.03
0,276.979,-0.01,277.006,119.98,277.04,-120.01
0,276.921,-0.03,276.992,119.94,277.085,-120.03
0,276.981,-0.01,277.006,119.98,277.038,-120.01
0,276.982,-0.01,277.007,119.98,277.038,-120.01
0,276.982,-0.01,277.007,119.98,277.038,-120.01
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
