,Type 1 lines losses (W),Type 2 lines losses (W),Type 3 lines losses (W),Type 4 lines losses (W),Type 5 lines losses (W),Total lines losses (W)
0,-0.003232288,-6.626582e-10,20.280073997125136,-1.78228336e-09,0.3836572508999997,21.171229786396708
0,-0.003230996,3.082344999869525,19.720175001079244,13.361065998522106,0.7673901139999997,39.95229283183825
0,-0.003229602,11.377380000077784,19.58090600145666,57.80231800048044,1.0980390083999998,98.78431901672276
0,-0.003229248,14.0102900010793,19.996783998564275,72.50868999914547,1.2786102783000008,118.68665061884087
0,-0.003229317,13.483979998941749,19.857647998346977,70.25937599862847,1.2449417693999996,115.34798180654421
0,-0.003228129,17.602129997959995,19.865191003281545,77.50281199889288,1.3657323834999995,129.16538114044138
0,-0.003228568,13.881560000215964,19.865578998238057,57.95474300251693,1.151340089199999,103.01868211962923
0,-0.003226917,22.963969997830986,20.0124509994788,91.68025999685094,1.4632339411999995,152.07738424147882
0,2.237247,31.35025999980963,23.22223600075882,106.78699600155674,1.7163459944000004,184.2995590098519
0,2.265703,30.958189999964837,23.12592400540976,105.62722299898948,1.6989413609999993,182.37203728833785
0,0.5185135,55.17324000138105,20.55139349829705,183.0050126999189,2.1522551589199996,295.66967732009385
0,2.22696,73.88669000103741,26.133390001358457,212.84631079932623,2.5920960260999992,361.9531802689184
0,0.1274878,162.26829999748904,35.7003265001838,448.7820105985474,3.6153034837000004,749.1865389285578
0,-0.003217673,120.47269999814566,64.9588660017592,347.4073280034902,3.008966905,609.6968522555028
0,-0.003215658,150.04559999992193,64.11555399744822,388.487662998338,3.3912067079000003,697.4938140984821
0,-0.003215924,122.801438,46.390615999438296,336.5800719965847,3.1896609726,603.0938192815383
0,-0.003218276,82.846553,38.18102660034769,222.6102030007568,2.3376450934999986,418.23673302439954
0,-0.003216041,116.65871399999999,15.729237396883454,324.5440390000739,3.2006731408000006,566.2747752340047
0,-0.00321718,108.23975,15.364582697238877,283.15456979967075,2.5518017436000004,497.1490663607575
0,-0.0032165,112.75447299999999,15.791453596115131,304.5714480002595,2.8022400286,533.073854724857
0,-0.003214648,110.04019,15.405755001810887,337.3227331031973,2.932558671620001,570.7833749712961
0,-0.003216145,103.25862000000001,13.450185703004777,284.92260910297676,2.443938390859999,498.756838128049
0,-0.003215613,100.75305999999999,3.12920205454406,295.08029210331676,2.3965755916499996,503.35355648881495
0,-0.003214991,95.64624,1.8292047179433748,294.14264090009976,2.38174208417,497.6971717910083
0,-0.003214735,89.15022,0.01178316789899757,291.59171609909174,2.5874808513899996,489.72605759805947
0,-0.003215371,86.47127,-2.4364824599999996e-09,273.68035919868777,2.6348235636000004,465.7329115228608
0,-0.003216354,78.9865,2.0532324e-09,230.8890125996627,2.3473310873299997,403.8631246940029
0,-0.00322029,50.542280000000005,-7.1584557999999975e-09,163.01340030917513,1.8458845424200003,272.8512160823979
0,-0.003219014,59.99177,-4.611619640000001e-09,195.76579054961232,2.0889961742199987,324.13875798368775
0,-0.003219637,55.00873,4.0029118e-09,179.97656846029815,1.9217237339,296.77372751649716
