,V1 (V),Ang1 (°),V2 (V),Ang2 (°),V3 (V),Ang3 (°)
0,276.878,-0.29,276.919,119.72,276.842,-120.28
0,276.906,-0.3,276.873,119.71,276.822,-120.3
0,276.897,-0.3,276.891,119.72,276.83,-120.29
0,276.904,-0.29,276.882,119.72,276.84,-120.29
0,276.963,-0.14,276.889,119.84,277.004,-120.16
0,276.928,-0.26,276.898,119.75,276.857,-120.26
0,276.961,-0.26,276.892,119.76,276.835,-120.26
0,276.938,-0.26,276.911,119.76,276.848,-120.25
0,276.979,-0.18,276.887,119.82,276.94,-120.2
0,276.873,-0.27,276.892,119.72,276.888,-120.27
0,276.912,-0.24,276.95,119.77,276.867,-120.23
0,276.934,-0.23,276.959,119.79,276.856,-120.22
0,276.943,-0.21,276.943,119.8,276.887,-120.21
0,276.948,-0.22,276.94,119.8,276.881,-120.21
0,276.958,-0.2,276.936,119.81,276.901,-120.2
0,276.97,-0.18,276.919,119.82,276.921,-120.19
0,277.0,-0.12,276.86,119.86,277.019,-120.16
0,276.928,-0.18,276.907,119.81,276.972,-120.19
0,276.938,-0.2,276.866,119.79,276.967,-120.22
0,277.005,-0.12,276.907,119.87,276.975,-120.14
0,276.855,-0.2,276.868,119.76,277.02,-120.22
0,276.888,-0.19,276.887,119.78,276.997,-120.21
0,276.847,-0.2,276.873,119.76,277.026,-120.22
0,276.865,-0.2,276.881,119.77,277.015,-120.21
0,276.847,-0.2,276.875,119.76,277.024,-120.22
0,276.847,-0.2,276.875,119.76,277.024,-120.22
0,276.89,-0.17,276.935,119.81,276.996,-120.17
0,276.931,-0.16,276.882,119.81,277.007,-120.18
0,276.875,-0.13,276.959,119.84,277.043,-120.13
0,276.885,-0.21,276.921,119.78,276.958,-120.21
0,276.942,-0.19,276.926,119.81,276.936,-120.19
0,276.868,-0.21,276.913,119.77,276.97,-120.21
0,276.869,-0.18,276.966,119.8,276.971,-120.17
0,276.867,-0.21,276.915,119.77,276.968,-120.21
0,276.827,-0.19,276.978,119.79,276.99,-120.17
0,276.834,-0.18,276.961,119.8,277.011,-120.17
0,276.819,-0.14,277.003,119.83,277.038,-120.13
0,276.918,-0.12,276.946,119.85,277.022,-120.13
0,276.834,-0.17,276.952,119.8,277.024,-120.17
0,276.867,-0.13,277.036,119.86,276.987,-120.11
0,276.874,-0.12,276.96,119.85,277.05,-120.12
0,276.9,-0.11,276.948,119.86,277.051,-120.12
0,276.937,-0.09,276.984,119.9,277.018,-120.09
0,276.962,-0.09,276.968,119.9,277.008,-120.09
0,276.964,-0.15,277.006,119.87,276.914,-120.13
0,276.981,-0.11,276.971,119.89,276.963,-120.12
0,276.919,-0.14,277.008,119.86,276.962,-120.12
0,276.975,-0.12,277.03,119.9,276.919,-120.1
0,276.99,-0.06,277.023,119.95,276.97,-120.05
0,276.99,-0.1,277.075,119.94,276.897,-120.06
0,276.946,-0.1,277.052,119.91,276.947,-120.08
0,276.951,-0.09,277.043,119.92,276.958,-120.07
0,276.987,-0.07,276.976,119.92,276.999,-120.08
0,277.016,-0.06,277.019,119.95,276.951,-120.05
0,277.017,-0.03,276.967,119.97,277.024,-120.04
0,277.05,-0.02,276.965,119.98,277.001,-120.03
0,277.044,-0.02,276.972,119.98,277.002,-120.03
0,277.06,-0.02,276.953,119.98,276.998,-120.04
0,276.999,-0.04,276.939,119.94,277.046,-120.06
0,276.975,-0.03,276.97,119.95,277.053,-120.04
0,276.976,-0.03,276.971,119.95,277.052,-120.04
0,276.98,-0.03,276.969,119.95,277.053,-120.04
0,276.978,-0.03,276.968,119.95,277.054,-120.04
0,276.978,-0.03,276.968,119.95,277.054,-120.04
0,276.978,-0.03,276.968,119.95,277.054,-120.04
0,276.977,-0.03,276.968,119.95,277.055,-120.04
0,276.978,-0.03,276.968,119.95,277.054,-120.04
0,276.978,-0.03,276.968,119.95,277.054,-120.04
0,277.016,-0.01,276.989,119.99,277.019,-120.02
0,276.978,-0.03,276.968,119.95,277.054,-120.04
0,277.014,-0.01,276.992,119.99,277.02,-120.02
0,277.038,-0.01,276.982,119.99,277.007,-120.02
0,277.038,-0.01,276.982,119.99,277.007,-120.02
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
0,277.013,0.0,277.013,120.0,277.013,-120.0
