,Total line losses (W)
0,91.31220999864743
0,90.11397000354233
0,89.8136199993179
0,89.51452000453901
0,5.768324903888818
0,90.59023999412287
0,89.91374000104287
0,89.81345999622448
0,83.64488999069724
0,94.96645999904315
0,95.59324001096284
0,94.9771100059619
0,188.72784800287124
0,11.208634301045427
0,751.2705599979141
0,886.9511892992252
0,1405.6099257978838
0,1508.6141672033625
0,1461.9013277036493
0,2058.2251810990074
0,2081.050406102747
0,1734.7654076990639
0,1463.6790765488327
0,824.3690427041283
0,1651.696642997043
0,1409.3926190040622
0,1285.3011062003186
0,1284.8727505927138
0,1764.4196318991085
0,1072.7614040914336
0,824.073256673606
0,930.6648407294449
0,953.894519262593
0,494.30780407353365
0,788.989820768895
0,776.2997656754276
0,487.7287901590597
0,864.5696508302854
0,771.4559417952383
0,1395.8203979701268
0,1393.3991190695
0,1414.2775685120682
0,1484.3114033918512
0,1575.4747843073017
0,1408.2540486237738
0,1172.0002084306939
0,1024.8679500704648
0,499.67956447599965
0,1501.2499825122632
0,1375.407801297383
0,1459.7234520686209
0,1227.2634715884444
0,1159.0355936825304
0,1322.3500568226857
0,1361.6909493913697
0,1276.845845158796
0,1244.7425139286174
0,1500.2059268754329
0,1060.1257330359158
0,489.975552621237
0,870.0742122261902
0,769.3971638533388
0,306.877102524788
0,710.5492315071584
0,1064.4548844949854
0,639.8094411500764
0,255.63158370852952
0,105.88430017442427
0,347.7097389039429
0,313.5401372388896
0,109.29796630164132
0,183.15075098795813
0,116.45228233750586
0,173.75105633972365
0,27.85958053276994
0,28.06356578665985
0,27.45054451563678
0,206.01431550269862
